0,1,2,3
0.888,0.816,1.325,1.232
1.087,1.015,0.958,1.222
1.047,1.015,0.819,1.051
1.018,1.015,0.995,1.127
0.969,1.14,1.322,12.02
0.969,1.14,1.069,1.125
0.997,1.332,1.322,0.93
0.969,0.958,0.928,0.99
0.969,1.071,0.995,0.875
1.087,0.816,1.322,1.232
1.087,1.051,0.958,0.93
0.969,1.226,1.322,12.02
1.087,1.065,0.995,1.127
0.969,1.226,0.928,1.222
0.898,1.051,1.322,1.125
1.025,0.816,1.322,1.232
1.025,0.958,1.219,0.775
1.125,1.14,1.14,1.051
1.087,1.332,0.958,1.127
0.898,1.065,0.928,0.775
0.997,1.226,0.819,12.02
1.025,0.958,1.14,0.93
1.125,1.065,1.322,0.93
0.997,1.226,1.219,1.051
0.997,0.816,0.819,0.99
0.888,0.816,0.819,1.127
0.969,0.816,1.219,12.02
0.898,1.332,0.928,1.125
0.898,1.015,0.819,1.051
0.969,9.5,1.325,1.232
0.888,1.065,1.219,0.93
1.018,9.5,0.928,1.232
1.047,1.065,1.325,1.232
1.047,9.5,0.995,1.125
1.087,0.958,0.819,1.222
1.087,0.958,1.322,1.125
0.983,1.051,0.928,1.222
0.898,1.226,0.928,0.93
0.888,1.071,0.958,1.051
1.047,0.816,0.928,0.775
1.018,9.5,1.219,0.93
1.087,0.816,0.928,0.875
0.969,9.5,1.325,0.775
0.888,1.226,1.14,1.222
0.898,1.226,1.219,1.232
0.997,1.051,1.14,0.775
0.969,0.816,0.995,1.232
1.125,1.071,1.14,12.02
0.983,1.015,1.222,1.125
1.047,1.226,0.995,1.232
1.047,9.5,0.958,1.232
0.983,1.015,0.995,1.125
1.087,1.071,1.219,0.93
1.018,0.958,0.819,0.99
1.025,1.332,1.219,0.875
0.969,1.051,1.322,12.02
1.018,1.071,0.928,1.125
0.898,1.14,1.322,0.93
1.047,9.5,0.995,1.232
1.087,0.816,1.14,12.02
1.018,9.5,0.995,0.99
1.025,1.14,0.958,0.93
0.898,1.051,0.928,12.02
0.997,1.226,0.995,1.051
0.983,9.5,0.819,1.127
0.898,9.5,0.928,1.222
1.025,9.5,0.928,1.232
0.997,9.5,0.928,0.93
0.898,1.071,0.958,12.02
0.969,0.958,0.928,0.875
0.888,1.015,0.958,12.02
0.898,0.958,1.222,0.775
1.018,1.015,1.222,0.93
1.047,1.051,1.219,12.02
0.888,1.332,1.322,1.222
1.125,1.051,0.819,12.02
1.025,1.015,1.069,0.875
1.087,0.816,0.928,1.127
0.898,0.958,0.995,0.99
0.997,1.065,1.222,1.125
0.969,9.5,1.219,0.775
1.025,1.332,1.325,0.875
0.983,1.226,1.069,0.875
0.969,0.958,1.222,1.051
1.018,1.332,1.219,1.125
0.898,1.332,0.995,1.051
1.025,1.065,0.928,1.051
0.898,1.051,0.995,0.875
1.018,1.071,0.928,0.99
1.047,1.071,1.219,1.051
0.969,1.14,1.069,12.02
1.018,0.816,0.819,1.222
1.125,1.015,1.325,0.775
0.898,1.226,0.958,12.02
1.047,0.816,0.958,1.127
1.047,1.051,0.995,0.775
0.969,9.5,1.322,0.99
0.888,1.065,1.222,0.875
1.087,0.816,1.069,1.222
0.983,0.816,1.222,1.222
1.018,1.226,0.928,0.775
0.888,9.5,0.958,0.93
1.025,1.226,1.222,1.232
1.125,1.051,0.819,1.125
0.983,1.015,0.819,1.051
1.047,0.958,0.928,0.875
1.125,1.065,0.928,1.232
1.087,1.332,1.322,1.127
0.997,1.14,0.928,1.051
0.898,1.065,0.995,1.232
1.025,0.816,1.219,0.99
0.898,9.5,1.14,1.222
1.125,0.958,1.325,1.232
1.087,0.816,0.928,1.232
1.125,1.226,0.958,1.125
0.969,1.14,0.958,0.875
0.983,0.958,1.069,1.222
1.125,1.071,1.069,0.93
1.025,1.226,0.819,0.775
1.087,1.226,0.958,1.051
0.888,1.065,1.219,0.875
1.047,1.14,0.995,0.99
1.025,0.958,0.958,0.775
0.969,9.5,1.222,1.222
1.047,1.065,0.928,0.775
1.087,1.14,1.219,0.775
1.025,1.14,1.222,0.93
1.125,1.226,1.325,1.222
0.888,1.071,0.819,1.222
1.125,1.015,1.322,0.775
0.898,9.5,0.958,1.051
1.025,1.226,1.222,0.775
0.888,1.332,1.322,1.222
1.087,0.816,0.928,0.875
0.983,0.958,0.995,12.02
1.047,0.816,0.819,1.222
1.087,1.14,0.819,0.775
1.087,0.816,1.222,12.02
0.888,1.015,0.995,0.93
0.969,1.015,1.14,0.93
0.969,1.065,1.069,0.99
1.087,1.332,1.219,1.125
1.047,0.958,1.322,12.02
0.898,1.051,0.819,0.93
1.025,1.332,0.958,1.232
0.969,1.14,0.819,0.775
0.969,0.816,0.928,1.127
0.997,1.015,1.219,0.875
1.018,9.5,1.322,0.775
1.025,1.226,1.069,0.99
0.888,1.332,0.819,1.125
0.888,1.051,1.322,1.125
0.898,9.5,1.219,1.222
1.087,1.071,1.219,1.051
0.969,0.958,0.995,1.222
1.087,1.332,0.928,12.02
0.898,1.051,1.069,1.051
0.969,9.5,0.928,1.127
1.047,1.065,1.14,1.127
0.983,1.065,0.995,0.875
0.983,1.14,0.995,1.222
0.997,1.065,1.322,0.875
1.047,0.816,1.14,1.125
0.997,1.015,1.325,1.127
0.983,1.332,1.069,1.051
0.997,9.5,0.819,1.125
0.983,1.226,1.322,1.051
1.018,0.958,0.819,0.99
1.047,1.065,1.219,1.051
0.983,1.065,1.325,1.125
0.888,1.015,1.322,12.02
0.997,1.14,1.325,1.232
0.898,1.015,0.958,0.875
1.047,0.816,0.819,1.051
1.047,1.226,0.928,1.125
1.025,0.816,1.322,0.99
0.997,1.332,1.222,12.02
1.125,1.065,1.222,0.775
1.125,0.816,0.819,1.222
0.898,0.816,1.219,0.99
1.087,0.958,1.219,0.775
1.087,1.065,1.322,0.93
0.888,1.226,1.219,0.775
1.125,1.071,1.219,1.125
1.047,0.958,1.14,1.232
0.983,1.332,1.325,12.02
0.888,0.816,0.995,0.875
1.018,1.065,0.995,0.775
0.888,0.816,0.958,0.93
0.888,1.332,0.995,0.775
0.983,1.14,0.995,1.127
1.125,9.5,1.325,0.775
0.997,0.816,0.819,12.02
0.969,1.226,0.928,1.222
1.047,1.14,1.222,0.93
0.888,1.14,1.322,1.125
1.018,9.5,1.219,0.99
0.969,1.14,1.219,0.775
1.047,1.226,0.958,1.232
0.888,0.816,0.958,1.232
0.969,1.332,0.958,1.127
0.997,1.226,0.958,1.125
0.997,0.958,1.219,1.127
0.888,0.816,1.325,1.127
0.969,1.14,0.928,1.125
0.983,1.226,1.222,12.02
1.125,1.071,1.069,0.99
0.997,1.071,0.819,12.02
1.018,0.958,1.069,1.125
1.025,1.332,0.819,1.127
0.997,1.14,0.819,1.127
0.888,1.051,1.14,1.222
0.969,1.332,1.14,0.775
0.997,1.015,1.322,0.775
0.997,1.071,0.928,12.02
0.888,1.226,1.219,0.775
1.087,1.015,1.222,0.99
1.087,1.071,0.995,0.93
1.125,1.332,1.322,1.222
0.898,1.051,1.069,1.127
1.047,0.958,1.219,1.051
0.997,1.071,0.819,1.127
1.047,0.958,1.069,1.222
0.983,1.051,1.322,1.125
0.898,1.051,1.14,0.99
0.997,1.332,0.928,12.02
1.087,1.015,1.325,12.02
1.125,0.816,1.219,0.93
0.997,1.071,1.222,1.125
1.025,1.065,0.819,1.051
0.888,1.065,1.322,0.775
1.047,0.816,1.222,0.775
0.983,1.071,0.958,0.775
0.969,1.14,0.958,0.93
1.125,9.5,1.069,0.775
0.969,1.226,1.219,0.99
0.969,1.226,0.958,12.02
0.888,0.958,1.069,0.775
1.018,0.958,1.222,1.222
1.047,1.015,1.322,1.051
1.025,1.226,1.069,12.02
1.087,1.226,1.222,1.051
1.087,1.332,0.819,1.232
1.087,1.14,1.219,0.875
1.018,0.816,0.819,0.93
0.997,1.071,0.995,1.222
0.888,0.958,0.958,1.222
1.125,1.015,0.819,0.875
0.898,9.5,0.995,1.232
1.047,1.065,0.958,0.875
1.025,0.958,1.322,1.127
0.969,0.816,0.928,12.02
1.047,1.051,0.958,12.02
0.888,0.816,0.995,0.93
1.087,1.14,0.819,1.232
1.025,9.5,0.928,0.775
1.125,1.051,1.322,1.222
0.898,0.958,1.14,1.125
1.025,0.816,1.219,0.93
0.997,1.051,1.222,0.775
0.888,1.015,1.325,0.875
0.969,1.332,0.928,0.875
1.087,1.051,0.928,0.875
1.018,1.332,0.995,0.875
0.983,0.958,0.928,0.93
0.888,1.071,1.325,0.99
1.018,1.071,1.325,1.125
0.888,0.816,1.325,1.222
1.047,1.065,1.069,1.125
1.047,0.816,0.958,1.127
0.983,0.958,1.069,1.051
1.125,0.958,1.322,0.775
0.898,1.226,1.325,0.99
0.997,1.332,1.322,1.127
0.969,0.958,1.322,12.02
0.983,1.015,1.325,1.127
0.983,1.015,0.928,0.875
1.047,1.065,0.819,1.127
0.898,9.5,0.958,0.775
1.047,1.071,0.958,1.127
0.898,9.5,1.322,0.775
1.047,1.065,1.219,12.02
1.087,1.051,0.928,0.775
0.888,1.051,0.928,12.02
1.087,1.051,1.322,0.93
1.047,1.051,0.995,1.222
1.125,1.14,1.219,0.775
0.983,1.071,1.325,0.93
0.888,1.071,1.14,0.875
0.888,1.065,1.325,0.875
0.969,0.958,0.958,0.99
0.983,1.051,0.928,12.02
0.898,9.5,0.995,12.02
1.047,0.816,1.325,1.232
0.888,1.332,1.219,1.051
0.997,1.051,1.322,0.99
1.125,0.816,0.928,1.127
1.125,1.14,1.14,12.02
1.018,1.226,1.069,1.232
0.983,1.14,1.14,0.775
0.898,0.958,1.325,1.125
0.997,1.226,0.958,1.127
0.983,0.958,0.819,1.232
1.087,1.071,0.928,0.93
0.983,1.065,1.322,1.051
0.997,1.332,0.995,0.99
1.087,0.958,1.222,1.051
1.125,1.226,1.322,12.02
1.087,1.071,1.219,1.127
0.997,1.015,0.995,1.127
0.888,0.958,1.219,1.232
1.087,1.051,0.995,1.222
1.125,0.958,1.219,0.93
1.018,1.14,1.219,1.222
0.997,1.015,0.819,0.775
1.047,1.015,1.222,1.232
0.888,1.065,1.14,0.775
0.888,1.14,0.819,1.051
0.997,1.14,1.222,1.222
0.983,1.226,0.958,1.125
1.047,0.958,1.325,0.93
0.969,9.5,1.325,12.02
1.025,0.816,0.928,1.222
0.969,0.958,1.322,1.127
0.997,1.332,1.14,1.222
0.983,1.065,1.222,0.775
0.898,1.332,1.322,0.99
1.047,1.226,0.819,0.875
0.983,1.071,1.222,0.875
0.888,1.015,1.222,1.222
0.898,1.065,1.322,1.051
0.898,1.14,0.819,1.222
0.898,9.5,1.325,0.93
0.898,1.14,1.222,1.232
0.997,1.051,1.322,0.875
0.997,1.332,0.819,0.775
1.047,1.226,1.14,1.051
1.087,0.816,1.322,0.93
0.898,1.332,0.995,12.02
1.018,1.051,0.958,12.02
0.969,0.816,1.322,0.99
0.983,1.332,0.958,0.875
0.997,0.958,0.995,12.02
1.125,0.958,0.819,0.775
1.087,1.051,1.14,0.93
0.997,0.958,1.14,1.051
1.047,1.071,1.219,1.232
1.047,1.226,0.819,1.232
0.898,1.226,0.819,1.051
1.018,1.015,1.14,1.222
1.125,1.051,1.222,0.93
0.997,1.065,0.928,1.127
0.888,1.226,1.219,1.051
1.018,1.14,1.219,0.775
1.125,1.065,1.14,0.99
1.087,9.5,0.995,1.232
0.969,0.816,1.222,0.99
0.898,9.5,1.222,12.02
1.047,1.14,1.069,1.232
1.018,0.816,1.069,12.02
1.087,1.065,1.222,1.127
1.047,0.958,1.325,1.051
1.087,1.226,1.222,12.02
1.025,1.015,1.222,0.99
0.888,1.015,1.069,1.222
0.983,1.015,0.995,0.875
0.997,1.051,1.14,0.99
0.983,9.5,1.14,1.232
0.983,1.065,0.928,1.232
0.898,1.226,1.069,1.222
0.898,1.332,0.928,0.875
0.997,0.816,1.222,1.125
1.125,0.958,0.995,1.051
0.888,1.071,1.322,1.232
0.888,1.071,1.222,1.125
1.025,1.14,0.995,0.99
1.018,1.226,1.219,1.125
1.025,0.816,1.219,0.875
0.969,1.14,1.069,0.99
0.898,1.065,0.995,0.775
0.969,1.051,0.958,0.93
0.997,0.816,1.219,1.222
0.898,0.958,1.222,0.93
1.025,1.051,0.995,1.125
0.969,0.958,1.219,1.127
0.888,1.332,1.322,1.125
1.018,1.226,0.928,1.232
0.983,1.226,0.928,12.02
0.997,1.071,0.928,1.232
0.997,0.816,0.958,1.051
0.997,1.226,0.958,0.99
1.018,0.816,0.928,1.232
1.025,0.816,1.222,1.222
1.047,1.065,0.928,1.051
1.047,1.14,0.928,0.875
1.125,1.015,1.222,1.127
0.983,1.332,1.069,0.99
0.983,1.14,1.325,1.051
1.087,1.065,1.325,1.127
0.898,1.065,0.819,1.051
0.983,9.5,1.14,1.222
0.983,1.015,1.069,1.232
0.983,1.015,1.222,0.875
1.087,0.816,1.222,1.232
1.087,1.14,1.325,1.232
1.047,1.14,1.222,0.775
0.997,1.071,0.819,0.775
0.888,9.5,1.14,0.93
0.898,1.226,1.325,1.127
0.898,1.065,0.958,0.775
0.983,1.071,0.928,0.93
0.983,9.5,0.958,0.775
1.018,0.816,1.322,1.125
1.047,1.015,1.069,0.93
0.969,1.071,0.928,1.051
1.125,0.816,1.219,1.232
1.025,0.816,1.069,0.875
1.047,1.051,1.222,12.02
1.087,1.332,1.069,1.051
1.087,1.051,0.928,1.222
0.888,9.5,0.958,1.222
1.125,1.051,0.819,0.99
0.997,0.816,1.219,0.875
0.997,9.5,1.325,1.125
0.983,1.14,0.928,0.875
1.125,1.015,1.14,1.127
1.125,1.226,0.819,1.222
0.983,0.958,0.995,0.93
1.047,0.958,1.069,1.232
1.018,1.065,0.928,1.222
0.969,0.958,0.819,1.232
1.018,9.5,0.958,1.127
0.997,0.816,1.322,1.051
0.898,9.5,1.325,0.99
1.047,1.065,1.219,0.99
1.087,1.332,1.325,0.99
1.025,1.226,1.219,1.232
0.983,1.051,0.995,1.232
1.047,1.071,1.219,0.775
0.969,1.051,1.325,0.99
1.125,1.051,1.322,12.02
0.888,1.071,0.928,1.232
0.969,0.958,0.928,0.775
1.018,1.226,0.995,1.125
0.969,1.14,1.069,1.127
1.087,1.051,1.325,1.127
1.018,1.015,0.819,12.02
0.888,1.071,0.928,1.125
0.983,0.958,0.995,1.232
0.898,1.332,1.14,0.93
0.997,1.14,1.219,0.99
0.888,1.051,1.219,0.775
0.898,1.015,0.928,0.775
0.888,1.226,1.322,1.222
0.997,1.015,0.995,1.051
0.983,0.816,0.928,1.125
1.087,1.015,0.958,0.99
1.087,1.226,1.14,1.232
1.125,1.071,0.928,0.875
0.983,1.332,1.322,0.99
1.047,1.14,0.819,1.051
0.969,1.14,0.995,0.99
1.018,1.14,0.928,0.875
0.888,0.816,1.322,0.775
0.969,1.332,0.995,0.875
1.125,1.015,1.322,0.875
1.047,1.332,1.219,0.93
0.898,9.5,0.819,1.232
1.125,1.015,1.14,0.93
1.087,1.14,1.322,1.127
0.898,1.332,1.069,0.875
1.025,1.14,0.995,1.051
0.997,1.14,1.219,1.125
0.888,0.816,0.995,1.125
1.018,1.065,0.958,1.125
0.898,1.051,1.219,1.232
0.983,1.14,0.819,0.875
0.983,0.816,1.322,0.93
1.025,1.065,1.322,1.232
1.087,0.816,1.322,0.93
1.087,9.5,1.222,1.232
0.969,9.5,1.325,0.775
0.898,0.958,0.819,1.051
1.025,0.816,1.069,1.222
1.025,1.14,1.222,0.99
1.087,1.015,0.958,1.222
0.969,1.065,0.819,12.02
1.025,1.015,1.069,1.125
1.087,1.14,1.069,0.775
0.898,9.5,0.819,0.775
0.983,1.332,0.958,12.02
0.888,0.816,1.219,0.875
0.997,9.5,1.322,0.93
1.018,1.015,0.819,0.775
1.087,0.958,0.819,0.775
1.047,1.071,1.325,1.051
0.997,1.226,1.325,1.051
0.969,1.071,1.222,0.875
0.997,1.015,1.325,0.875
0.997,1.051,1.325,12.02
1.025,1.015,0.958,1.232
1.047,0.958,0.995,1.232
1.018,1.051,1.222,1.051
1.125,1.051,1.219,1.051
1.047,1.332,1.14,0.93
1.047,1.14,1.325,1.051
0.898,1.14,0.995,0.875
0.997,1.071,0.819,1.127
1.025,1.332,1.069,0.99
0.888,1.071,1.14,1.127
1.125,1.226,0.928,1.127
1.025,1.015,1.219,1.051
0.969,1.226,1.222,0.875
1.025,0.816,0.958,0.775
1.125,1.332,0.995,1.222
0.983,9.5,1.325,0.875
1.125,0.816,1.322,0.875
0.898,1.051,1.325,12.02
1.087,1.332,0.995,0.875
1.087,0.958,1.222,1.125
1.047,1.071,1.14,0.99
1.047,9.5,0.995,0.93
1.018,1.226,1.222,12.02
0.888,0.958,1.325,0.93
1.087,9.5,1.222,1.127
1.125,1.065,1.322,1.232
1.025,1.071,1.069,0.775
1.025,1.015,0.928,0.875
1.025,1.332,1.14,1.222
1.025,1.14,1.222,1.222
1.018,1.071,0.819,0.775
1.018,1.065,1.325,0.875
0.969,1.065,1.219,1.222
1.087,1.051,0.819,0.875
0.888,1.332,0.995,0.93
0.888,1.065,1.325,1.222
1.087,0.958,1.222,1.232
0.898,1.071,1.069,1.232
0.997,1.071,0.995,0.775
0.969,0.958,1.322,0.93
1.125,0.816,0.995,12.02
0.983,0.958,1.219,1.125
1.018,1.071,0.928,0.775
0.983,1.226,0.819,0.99
0.888,0.958,1.222,0.99
1.025,1.14,1.322,1.125
0.969,1.065,0.819,0.93
1.087,1.226,1.219,0.875
0.898,1.071,0.819,0.875
1.047,1.065,0.928,0.875
1.025,1.065,1.325,12.02
1.025,1.071,1.322,1.232
1.018,0.816,0.958,1.051
1.025,9.5,1.322,0.93
0.888,1.051,1.14,1.232
0.888,1.065,1.219,0.93
0.983,1.332,0.995,1.222
0.969,1.332,0.819,0.775
0.888,1.332,1.322,0.875
1.047,1.226,1.222,1.232
1.025,0.958,1.069,1.232
0.898,9.5,1.219,1.232
0.983,9.5,0.819,0.775
0.888,1.226,0.958,12.02
1.018,1.226,1.219,0.875
0.997,1.14,0.928,1.125
1.125,1.051,1.219,0.93
1.025,1.065,1.219,1.051
1.125,9.5,1.222,12.02
1.018,0.958,0.928,1.125
1.025,0.958,0.958,12.02
1.025,0.816,1.325,0.99
1.047,1.065,0.958,0.93
0.997,1.065,0.958,1.125
0.997,0.816,1.322,12.02
0.888,1.065,0.958,1.125
0.898,1.051,0.928,1.222
1.025,1.071,1.14,0.775
1.018,0.816,1.14,1.125
1.025,0.816,1.325,1.232
0.888,1.226,1.325,1.232
0.888,1.065,1.219,1.125
0.983,1.226,1.14,0.775
1.047,1.051,0.958,1.051
1.125,1.332,1.069,1.127
0.997,1.065,1.14,0.775
0.983,1.051,1.14,0.875
0.888,1.226,0.819,1.232
1.125,1.226,1.219,1.051
0.969,1.226,0.819,0.775
0.983,0.816,1.219,0.99
0.898,1.226,0.928,1.051
1.025,1.051,0.928,0.93
0.969,1.226,1.322,0.93
0.888,1.071,0.958,1.051
0.888,1.071,0.928,0.775
1.087,1.071,1.069,0.93
1.125,0.816,1.14,1.125
0.969,0.816,0.928,1.222
0.888,1.071,1.325,0.875
0.983,1.071,1.14,1.222
1.047,1.065,0.819,0.875
1.087,1.332,0.819,1.222
1.018,0.958,1.069,1.125
1.087,1.226,0.928,1.051
0.969,9.5,0.819,1.232
0.983,1.226,1.222,1.051
0.969,1.14,0.819,1.127
1.047,1.226,1.222,1.222
0.983,1.332,1.219,0.875
0.969,0.816,0.819,1.232
1.087,0.958,0.928,0.93
0.983,1.065,0.995,0.99
0.969,0.958,1.219,1.051
1.125,1.065,1.14,1.051
0.898,1.051,1.322,1.127
1.047,9.5,1.069,1.222
0.898,1.015,1.325,0.93
1.025,0.958,1.219,0.99
1.018,9.5,0.995,1.222
1.025,1.14,1.325,0.875
0.983,1.226,1.14,0.99
1.018,1.332,0.958,1.222
0.898,1.051,0.958,0.99
1.087,9.5,0.958,1.232
0.997,0.958,0.819,1.232
1.018,1.015,1.222,0.93
1.025,0.958,0.958,1.051
0.997,0.958,0.995,1.125
1.025,1.14,1.069,1.222
0.983,0.816,1.325,0.99
1.025,0.816,1.219,1.125
0.888,1.14,1.219,1.125
1.018,1.065,0.958,1.222
1.018,0.816,1.222,0.99
0.983,1.051,0.958,0.875
0.983,0.958,1.325,1.051
1.025,1.015,1.322,0.93
1.125,1.071,0.995,1.222
1.047,1.071,0.958,1.127
0.888,1.071,1.14,0.875
0.888,1.015,0.928,1.232
0.997,1.226,0.958,1.051
1.125,1.332,0.819,0.99
1.087,1.14,1.219,1.127
0.898,0.958,1.069,1.051
1.025,1.051,0.819,1.222
0.888,0.958,1.322,12.02
0.969,9.5,0.958,12.02
0.983,0.958,1.222,0.93
1.125,0.958,0.995,1.127
0.969,1.226,0.928,1.222
0.888,0.958,1.325,1.232
1.125,9.5,1.219,0.875
0.969,1.051,1.222,1.051
0.898,1.226,1.322,1.127
1.018,1.14,1.322,1.127
1.018,1.065,1.325,1.051
0.969,1.332,1.14,0.875
1.125,1.332,0.819,1.222
0.898,1.332,0.958,1.232
0.898,0.816,1.222,0.775
0.969,1.065,1.222,0.93
1.087,1.071,1.325,1.125
0.969,9.5,1.14,0.775
1.125,1.226,0.995,1.222
0.983,0.958,1.14,1.127
0.898,1.14,0.995,1.127
1.125,1.14,1.325,0.775
1.125,1.065,1.219,0.93
0.898,0.958,1.325,1.127
0.888,1.015,0.819,1.051
0.888,1.332,1.069,0.99
1.025,1.226,1.325,12.02
0.997,1.332,1.322,1.222
1.018,1.14,1.14,1.127
0.983,0.958,1.219,1.051
0.898,1.065,1.322,0.99
0.969,0.816,1.325,1.222
1.087,0.816,0.995,1.125
1.047,1.14,1.069,1.125
0.997,0.816,1.219,0.99
1.087,1.071,0.995,1.232
1.047,0.816,1.069,12.02
0.888,1.051,1.222,0.93
0.969,1.051,1.219,0.99
1.125,1.051,0.958,0.875
0.983,1.015,1.14,1.051
0.969,1.332,1.14,0.775
0.898,1.051,0.958,1.125
1.087,1.071,0.995,1.125
1.047,9.5,0.958,1.051
1.087,9.5,1.219,12.02
0.888,1.071,1.325,1.127
1.125,1.226,0.819,1.125
1.047,9.5,1.325,0.775
1.025,1.015,0.819,1.232
0.997,1.226,1.322,1.222
0.969,1.071,1.322,1.051
1.018,9.5,1.322,0.99
0.997,1.051,1.322,1.127
0.898,1.226,1.222,0.99
0.898,1.071,1.322,0.99
1.087,1.015,0.819,1.051
0.898,0.816,1.14,1.232
0.983,1.065,1.069,12.02
0.983,1.015,1.14,0.775
1.125,0.816,0.958,1.051
1.025,1.332,1.069,0.875
1.025,1.071,1.14,1.127
0.888,9.5,0.819,0.99
1.025,1.332,0.928,1.125
1.125,1.065,0.995,1.051
1.125,1.015,1.325,0.99
0.898,0.816,1.219,0.99
0.983,0.816,1.322,1.125
0.888,1.065,1.219,0.875
1.125,0.958,0.958,12.02
0.969,1.015,1.219,1.125
0.969,1.226,1.219,0.93
0.969,0.958,1.322,0.93
0.983,1.051,0.928,1.222
0.983,1.051,1.222,1.125
0.888,9.5,0.958,1.232
0.983,1.065,1.322,0.93
1.018,0.816,1.325,1.125
1.087,0.958,1.069,0.775
0.898,0.816,1.222,0.93
0.969,0.816,1.219,1.232
1.025,1.071,0.819,12.02
1.125,0.958,1.322,12.02
0.969,1.332,1.222,0.775
0.997,1.226,0.928,0.93
1.018,1.051,1.222,0.875
0.898,9.5,0.819,0.775
1.125,1.14,0.995,1.232
0.888,9.5,1.219,0.99
0.969,0.958,1.069,1.051
0.969,1.14,1.219,0.99
1.025,1.14,1.14,12.02
1.025,1.071,0.995,1.125
1.087,9.5,1.069,1.125
